Locus	ProteinID	uniprot_id	Gene	CDS
b2149	NP_416654.1	P0AAG8	mglA	lcl|NC_000913.3_cds_NP_416654.1_2130
b2150	NP_416655.1	P0AEE5	mglB	lcl|NC_000913.3_cds_NP_416655.1_2131
b2151	NP_416656.1	P25748	galS	lcl|NC_000913.3_cds_NP_416656.1_2132
b2152	NP_416657.1	P25747	yeiB	lcl|NC_000913.3_cds_NP_416657.1_2133
b2153	NP_416658.1	P0A6T5	folE	lcl|NC_000913.3_cds_NP_416658.1_2134
b2154	NP_416659.1	P33018	yeiG	lcl|NC_000913.3_cds_NP_416659.1_2135
b2155	NP_416660.1	P17315	cirA	lcl|NC_000913.3_cds_NP_416660.1_2136
b2156	NP_416661.1	P25737	lysP	lcl|NC_000913.3_cds_NP_416661.1_2137
b2157	NP_416662.1	P0ACR4	yeiE	lcl|NC_000913.3_cds_NP_416662.1_2138
b2158	NP_416663.1	P62723	yeiH	lcl|NC_000913.3_cds_NP_416663.1_2139
b2159	NP_416664.1	P0A6C1	nfo	lcl|NC_000913.3_cds_NP_416664.1_2140
b2160	NP_416665.1	P33020	yeiI	lcl|NC_000913.3_cds_NP_416665.1_2141
b2161	NP_416666.1	P33021	nupX	lcl|NC_000913.3_cds_NP_416666.1_2142
b2162	NP_416667.1	P33022	rihB	lcl|NC_000913.3_cds_NP_416667.1_2143
b2163	NP_416668.3	P0A9E9	yeiL	lcl|NC_000913.3_cds_NP_416668.3_2144
b2164	NP_416669.1	P33024	psuT	lcl|NC_000913.3_cds_NP_416669.1_2145
b2165	NP_416670.1	P33025	psuG	lcl|NC_000913.3_cds_NP_416670.1_2146
b2166	NP_416671.1	P30235	psuK	lcl|NC_000913.3_cds_NP_416671.1_2147
b2167	NP_416672.1	P20966	fruA	lcl|NC_000913.3_cds_NP_416672.1_2148
b2168	NP_416673.1	P0AEW9	fruK	lcl|NC_000913.3_cds_NP_416673.1_2149
b2169	NP_416674.1	P69811	fruB	lcl|NC_000913.3_cds_NP_416674.1_2150
b2170	NP_416675.1	P33026	setB	lcl|NC_000913.3_cds_NP_416675.1_2151
b4502	YP_588461.1	P0AFT8	yeiW	lcl|NC_000913.3_cds_YP_588461.1_2152
b2171	NP_416676.4	P0A6N8	yeiP	lcl|NC_000913.3_cds_NP_416676.4_2153
b2172	NP_416677.1	P33029	yeiQ	lcl|NC_000913.3_cds_NP_416677.1_2154
b2173	NP_416678.1	P33030	yeiR	lcl|NC_000913.3_cds_NP_416678.1_2155
b2174	NP_416679.4	P76445	lpxT	lcl|NC_000913.3_cds_NP_416679.4_2156
b2175	NP_416680.1	P0AFV4	mepS	lcl|NC_000913.3_cds_NP_416680.1_2157
b2176	NP_416681.1	P76446	pdeN	lcl|NC_000913.3_cds_NP_416681.1_2158
b2177	NP_416682.4	P33913	yejA	lcl|NC_000913.3_cds_NP_416682.4_2159
b2178	NP_416683.1	P0AFU0	yejB	lcl|NC_000913.3_cds_NP_416683.1_2160
b2179	NP_416684.1	P33915	yejE	lcl|NC_000913.3_cds_NP_416684.1_2161
b2180	NP_416685.1	P33916	yejF	lcl|NC_000913.3_cds_NP_416685.1_2162
b2181	NP_416686.1	P0AD21	yejG	lcl|NC_000913.3_cds_NP_416686.1_2163
b2182	NP_416687.1	P28246	bcr	lcl|NC_000913.3_cds_NP_416687.1_2164
b2183	NP_416688.1	P0AA43	rsuA	lcl|NC_000913.3_cds_NP_416688.1_2165
b2184	NP_416689.1	P33919	radD	lcl|NC_000913.3_cds_NP_416689.1_2166
b2185	NP_416690.1	P68919	rplY	lcl|NC_000913.3_cds_NP_416690.1_2167
b2186	NP_416691.1	P33920	yejK	lcl|NC_000913.3_cds_NP_416691.1_2168
b2187	NP_416692.1	P0AD24	yejL	lcl|NC_000913.3_cds_NP_416692.1_2169
b2188	NP_416693.1	P0AD27	lapC	lcl|NC_000913.3_cds_NP_416693.1_2170
b2190	NA	NA	yejO	NA
b2192	NP_416535.2	P0CE55	insH8	lcl|NC_000913.3_cds_NP_416535.2_2172
b2193	NP_416697.1	P31802	narP	lcl|NC_000913.3_cds_NP_416697.1_2173
b2194	NP_416698.1	P0ABM9	ccmH	lcl|NC_000913.3_cds_NP_416698.1_2174
b2195	NP_416699.1	P0AA86	ccmG	lcl|NC_000913.3_cds_NP_416699.1_2175
b2196	NP_416700.1	P33927	ccmF	lcl|NC_000913.3_cds_NP_416700.1_2176
b2197	NP_416701.1	P69490	ccmE	lcl|NC_000913.3_cds_NP_416701.1_2177
b2198	NP_416702.1	P0ABM5	ccmD	lcl|NC_000913.3_cds_NP_416702.1_2178
b2199	NP_416703.1	P0ABM1	ccmC	lcl|NC_000913.3_cds_NP_416703.1_2179
b2200	NP_416704.1	P0ABL8	ccmB	lcl|NC_000913.3_cds_NP_416704.1_2180
b2201	NP_416705.2	P33931	ccmA	lcl|NC_000913.3_cds_NP_416705.2_2181
b2202	NP_416706.1	P0ABL5	napC	lcl|NC_000913.3_cds_NP_416706.1_2182
b2203	NP_416707.4	P0ABL3	napB	lcl|NC_000913.3_cds_NP_416707.4_2183
b2204	NP_416708.1	P33934	napH	lcl|NC_000913.3_cds_NP_416708.1_2184
b2205	NP_416709.1	P0AAL3	napG	lcl|NC_000913.3_cds_NP_416709.1_2185
b2206	NP_416710.1	P33937	napA	lcl|NC_000913.3_cds_NP_416710.1_2186
b2207	NP_416711.1	P0A9I5	napD	lcl|NC_000913.3_cds_NP_416711.1_2187
b2208	NP_416712.1	P0AAL0	napF	lcl|NC_000913.3_cds_NP_416712.1_2188
b4604	YP_009518801.1	A5A619	yojO	lcl|NC_000913.3_cds_YP_009518801.1_2189
b2209	NP_416713.1	P23827	eco	lcl|NC_000913.3_cds_NP_416713.1_2190
b2210	NP_416714.1	P33940	mqo	lcl|NC_000913.3_cds_NP_416714.1_2191
b2211	NP_416715.1	P33941	yojI	lcl|NC_000913.3_cds_NP_416715.1_2192
b2212	NP_416716.1	P05050	alkB	lcl|NC_000913.3_cds_NP_416716.1_2193
b2213	NP_416717.1	P06134	ada	lcl|NC_000913.3_cds_NP_416717.1_2194
b2214	NP_416718.1	P0AB85	ftp	lcl|NC_000913.3_cds_NP_416718.1_2195
b2215	NP_416719.1	P06996	ompC	lcl|NC_000913.3_cds_NP_416719.1_2196
b2216	NP_416720.1	P39838	rcsD	lcl|NC_000913.3_cds_NP_416720.1_2197
b2217	NP_416721.1	P0DMC7	rcsB	lcl|NC_000913.3_cds_NP_416721.1_2198
b2218	NP_416722.2	P0DMC5	rcsC	lcl|NC_000913.3_cds_NP_416722.2_2199
b2219	NP_416723.1	Q06067	atoS	lcl|NC_000913.3_cds_NP_416723.1_2200
b2220	NP_416724.1	Q06065	atoC	lcl|NC_000913.3_cds_NP_416724.1_2201
b2221	NP_416725.1	P76458	atoD	lcl|NC_000913.3_cds_NP_416725.1_2202
b2222	NP_416726.1	P76459	atoA	lcl|NC_000913.3_cds_NP_416726.1_2203
b2223	NP_416727.1	P76460	atoE	lcl|NC_000913.3_cds_NP_416727.1_2204
b2224	NP_416728.1	P76461	atoB	lcl|NC_000913.3_cds_NP_416728.1_2205
b2225	NP_416729.1	P76462	yfaP	lcl|NC_000913.3_cds_NP_416729.1_2206
b2226	NP_416730.1	P76463	yfaQ	lcl|NC_000913.3_cds_NP_416730.1_2207
b2229	NP_416732.4	P76466	yfaT	lcl|NC_000913.3_cds_NP_416732.4_2208
b2230	NP_416733.4	P17994	yfaA	lcl|NC_000913.3_cds_NP_416733.4_2209
b2231	NP_416734.1	P0AES4	gyrA	lcl|NC_000913.3_cds_NP_416734.1_2210
b2232	NP_416735.1	P17993	ubiG	lcl|NC_000913.3_cds_NP_416735.1_2211
b2233	NP_416736.1	P45508	yfaL	lcl|NC_000913.3_cds_NP_416736.1_2212
b4605	YP_009518802.1	NA	ypaB	lcl|NC_000913.3_cds_YP_009518802.1_2213
b2234	NP_416737.1	P00452	nrdA	lcl|NC_000913.3_cds_NP_416737.1_2214
b4779	YP_010051189.1	P0DSF7	yoaM	lcl|NC_000913.3_cds_YP_010051189.1_2215
b2235	NP_416738.1	P69924	nrdB	lcl|NC_000913.3_cds_NP_416738.1_2216
b2236	NP_416739.1	P0ABW3	yfaE	lcl|NC_000913.3_cds_NP_416739.1_2217
b2237	NP_416740.1	P27294	inaA	lcl|NC_000913.3_cds_NP_416740.1_2218
b2239	NP_416742.1	P09394	glpQ	lcl|NC_000913.3_cds_NP_416742.1_2219
b2240	NP_416743.1	P08194	glpT	lcl|NC_000913.3_cds_NP_416743.1_2220
b2241	NP_416744.1	P0A9C0	glpA	lcl|NC_000913.3_cds_NP_416744.1_2221
b2242	NP_416745.1	P13033	glpB	lcl|NC_000913.3_cds_NP_416745.1_2222
b2243	NP_416746.1	P0A996	glpC	lcl|NC_000913.3_cds_NP_416746.1_2223
b2244	NP_416747.1	P37014	rpnE	lcl|NC_000913.3_cds_NP_416747.1_2224
b2245	NP_416748.1	P76469	yfaU	lcl|NC_000913.3_cds_NP_416748.1_2225
b2246	NP_416749.4	P76470	yfaV	lcl|NC_000913.3_cds_NP_416749.4_2226
b2247	NP_416750.2	P77215	rhmD	lcl|NC_000913.3_cds_NP_416750.2_2227
b2248	NP_416751.1	P77732	yfaX	lcl|NC_000913.3_cds_NP_416751.1_2228
b2249	NP_416752.1	P77808	yfaY	lcl|NC_000913.3_cds_NP_416752.1_2229
b2250	NP_416753.4	P76471	yfaZ	lcl|NC_000913.3_cds_NP_416753.4_2230
b2251	NP_416754.1	P52006	nudI	lcl|NC_000913.3_cds_NP_416754.1_2231
b2252	NP_416755.1	P45565	ais	lcl|NC_000913.3_cds_NP_416755.1_2232
b2253	NP_416756.6	P77690	arnB	lcl|NC_000913.3_cds_NP_416756.6_2233
b2254	NP_416757.1	P77757	arnC	lcl|NC_000913.3_cds_NP_416757.1_2234
b2255	NP_416758.1	P77398	arnA	lcl|NC_000913.3_cds_NP_416758.1_2235
b2256	NP_416759.1	P76472	arnD	lcl|NC_000913.3_cds_NP_416759.1_2236
b2257	NP_416760.1	P76473	arnT	lcl|NC_000913.3_cds_NP_416760.1_2237
b4544	YP_588462.1	Q47377	arnE	lcl|NC_000913.3_cds_YP_588462.1_2238
b2258	NP_416761.4	P76474	arnF	lcl|NC_000913.3_cds_NP_416761.4_2239
b2259	NP_416762.2	P37590	pmrD	lcl|NC_000913.3_cds_NP_416762.2_2240
b2260	NP_416763.1	P37353	menE	lcl|NC_000913.3_cds_NP_416763.1_2241
b2261	NP_416764.1	P29208	menC	lcl|NC_000913.3_cds_NP_416764.1_2242
b2262	NP_416765.1	P0ABU0	menB	lcl|NC_000913.3_cds_NP_416765.1_2243
b2263	NP_416766.1	P37355	menH	lcl|NC_000913.3_cds_NP_416766.1_2244
b2264	NP_416767.1	P17109	menD	lcl|NC_000913.3_cds_NP_416767.1_2245
b2265	NP_416768.4	P38051	menF	lcl|NC_000913.3_cds_NP_416768.4_2246
b2266	NP_416769.1	P0AEH5	elaB	lcl|NC_000913.3_cds_NP_416769.1_2247
b2267	NP_416770.1	P0AEH3	elaA	lcl|NC_000913.3_cds_NP_416770.1_2248
b2268	NP_416771.4	P0A8V0	rbn	lcl|NC_000913.3_cds_NP_416771.4_2249
b2269	NP_416772.1	Q47013	elaD	lcl|NC_000913.3_cds_NP_416772.1_2250
b2270	NP_416773.1	P76481	yfbK	lcl|NC_000913.3_cds_NP_416773.1_2251
b2271	NP_416774.2	P76482	yfbL	lcl|NC_000913.3_cds_NP_416774.2_2252
b2272	NP_416775.1	P76483	yfbM	lcl|NC_000913.3_cds_NP_416775.1_2253
b2273	NP_416776.1	P76484	yfbN	lcl|NC_000913.3_cds_NP_416776.1_2254
b2274	NP_416777.2	P76485	yfbO	lcl|NC_000913.3_cds_NP_416777.2_2255
b2275	NP_416778.2	P76486	yfbP	lcl|NC_000913.3_cds_NP_416778.2_2256
b2276	NP_416779.2	P0AFF0	nuoN	lcl|NC_000913.3_cds_NP_416779.2_2257
b2277	NP_416780.1	P0AFE8	nuoM	lcl|NC_000913.3_cds_NP_416780.1_2258
b2278	NP_416781.1	P33607	nuoL	lcl|NC_000913.3_cds_NP_416781.1_2259
b2279	NP_416782.1	P0AFE4	nuoK	lcl|NC_000913.3_cds_NP_416782.1_2260
b2280	NP_416783.1	P0AFE0	nuoJ	lcl|NC_000913.3_cds_NP_416783.1_2261
b2281	NP_416784.1	P0AFD6	nuoI	lcl|NC_000913.3_cds_NP_416784.1_2262
b2282	NP_416785.1	P0AFD4	nuoH	lcl|NC_000913.3_cds_NP_416785.1_2263
b2283	NP_416786.4	P33602	nuoG	lcl|NC_000913.3_cds_NP_416786.4_2264
b2284	NP_416787.1	P31979	nuoF	lcl|NC_000913.3_cds_NP_416787.1_2265
b2285	NP_416788.1	P0AFD1	nuoE	lcl|NC_000913.3_cds_NP_416788.1_2266
b2286	NP_416789.2	P33599	nuoC	lcl|NC_000913.3_cds_NP_416789.2_2267
b2287	NP_416790.1	P0AFC7	nuoB	lcl|NC_000913.3_cds_NP_416790.1_2268
b2288	NP_416791.3	P0AFC3	nuoA	lcl|NC_000913.3_cds_NP_416791.3_2269
b2289	NP_416792.1	P36771	lrhA	lcl|NC_000913.3_cds_NP_416792.1_2270
b2290	NP_416793.1	P0A959	alaA	lcl|NC_000913.3_cds_NP_416793.1_2271
b2291	NP_416794.1	P76491	yfbR	lcl|NC_000913.3_cds_NP_416794.1_2272
b2292	NP_416795.1	P0AFU2	yfbS	lcl|NC_000913.3_cds_NP_416795.1_2273
b2293	NP_416796.2	P77625	hxpA	lcl|NC_000913.3_cds_NP_416796.2_2274
b2294	NP_416797.2	P0A8W8	yfbU	lcl|NC_000913.3_cds_NP_416797.2_2275
b2295	NP_416798.1	P0A8D9	yfbV	lcl|NC_000913.3_cds_NP_416798.1_2276
b2296	NP_416799.1	P0A6A3	ackA	lcl|NC_000913.3_cds_NP_416799.1_2277
b2297	NP_416800.1	P0A9M8	pta	lcl|NC_000913.3_cds_NP_416800.1_2278
b2298	NP_416801.2	P39263	yfcC	lcl|NC_000913.3_cds_NP_416801.2_2279
b2299	NP_416802.1	P65556	yfcD	lcl|NC_000913.3_cds_NP_416802.1_2280
b2300	NP_416803.3	P67095	yfcE	lcl|NC_000913.3_cds_NP_416803.3_2281
b2301	NP_416804.1	P77544	yfcF	lcl|NC_000913.3_cds_NP_416804.1_2282
b2302	NP_416805.1	P77526	yfcG	lcl|NC_000913.3_cds_NP_416805.1_2283
b2303	NP_416806.1	P0AC19	folX	lcl|NC_000913.3_cds_NP_416806.1_2284
b2304	NP_416807.1	P77775	yfcH	lcl|NC_000913.3_cds_NP_416807.1_2285
b2305	NP_416808.1	P77768	rpnB	lcl|NC_000913.3_cds_NP_416808.1_2286
b2306	NP_416809.1	P07109	hisP	lcl|NC_000913.3_cds_NP_416809.1_2287
b2307	NP_416810.1	P0AEU3	hisM	lcl|NC_000913.3_cds_NP_416810.1_2288
b2308	NP_416811.1	P52094	hisQ	lcl|NC_000913.3_cds_NP_416811.1_2289
b2309	NP_416812.1	P0AEU0	hisJ	lcl|NC_000913.3_cds_NP_416812.1_2290
b2310	NP_416813.1	P09551	argT	lcl|NC_000913.3_cds_NP_416813.1_2291
b2311	NP_416814.1	P0AG03	ubiX	lcl|NC_000913.3_cds_NP_416814.1_2292
b2312	NP_416815.1	P0AG16	purF	lcl|NC_000913.3_cds_NP_416815.1_2293
b2313	NP_416816.1	P08550	cvpA	lcl|NC_000913.3_cds_NP_416816.1_2294
b2314	NP_416817.2	P09549	dedD	lcl|NC_000913.3_cds_NP_416817.2_2295
b2315	NP_416818.1	P08192	folC	lcl|NC_000913.3_cds_NP_416818.1_2296
b2316	NP_416819.1	P0A9Q5	accD	lcl|NC_000913.3_cds_NP_416819.1_2297
b2317	NP_416820.1	P0ABP6	dedA	lcl|NC_000913.3_cds_NP_416820.1_2298
b2318	NP_416821.1	P07649	truA	lcl|NC_000913.3_cds_NP_416821.1_2299
b2319	NP_416822.1	P08390	usg	lcl|NC_000913.3_cds_NP_416822.1_2300
b2320	NP_416823.1	P05459	pdxB	lcl|NC_000913.3_cds_NP_416823.1_2301
b2321	NP_416824.1	P15286	flk	lcl|NC_000913.3_cds_NP_416824.1_2302
b2322	NP_416825.1	P77549	yfcJ	lcl|NC_000913.3_cds_NP_416825.1_2303
b2323	NP_416826.1	P0A953	fabB	lcl|NC_000913.3_cds_NP_416826.1_2304
b2324	NP_416827.4	P77182	mnmC	lcl|NC_000913.3_cds_NP_416827.4_2305
b2325	NP_416828.1	P64540	yfcL	lcl|NC_000913.3_cds_NP_416828.1_2306
b2326	NP_416829.1	P76938	epmC	lcl|NC_000913.3_cds_NP_416829.1_2307
b2327	NP_416830.1	P0AD30	yfcA	lcl|NC_000913.3_cds_NP_416830.1_2308
b2328	NP_416831.1	P0C0T5	mepA	lcl|NC_000913.3_cds_NP_416831.1_2309
b2329	NP_416832.1	P12008	aroC	lcl|NC_000913.3_cds_NP_416832.1_2310
b2330	NP_416833.4	P39199	prmB	lcl|NC_000913.3_cds_NP_416833.4_2311
b2331	NP_416834.1	P0A8B2	smrB	lcl|NC_000913.3_cds_NP_416834.1_2312
b2332	NP_416835.2	P76498	yfcO	lcl|NC_000913.3_cds_NP_416835.2_2313
b2333	NP_416836.1	P76499	yfcP	lcl|NC_000913.3_cds_NP_416836.1_2314
b2334	NP_416837.1	P76500	yfcQ	lcl|NC_000913.3_cds_NP_416837.1_2315
b2335	NP_416838.1	P76501	yfcR	lcl|NC_000913.3_cds_NP_416838.1_2316
b2336	NP_416839.1	P77599	yfcS	lcl|NC_000913.3_cds_NP_416839.1_2317
b2339	NP_416841.1	P77288	yfcV	lcl|NC_000913.3_cds_NP_416841.1_2318
b2340	NP_416842.1	P76502	sixA	lcl|NC_000913.3_cds_NP_416842.1_2319
b2341	NP_416843.1	P77399	fadJ	lcl|NC_000913.3_cds_NP_416843.1_2320
b2342	NP_416844.1	P76503	fadI	lcl|NC_000913.3_cds_NP_416844.1_2321
b2343	NP_416845.2	P0AD33	yfcZ	lcl|NC_000913.3_cds_NP_416845.2_2322
b2344	NP_416846.2	P10384	fadL	lcl|NC_000913.3_cds_NP_416846.2_2323
b2345	NP_416847.1	P76505	yfdF	lcl|NC_000913.3_cds_NP_416847.1_2324
b2346	NP_416848.1	P76506	mlaA	lcl|NC_000913.3_cds_NP_416848.1_2325
b2347	NP_416849.1	P37327	yfdC	lcl|NC_000913.3_cds_NP_416849.1_2326
b2349	NP_416850.1	P37326	intS	lcl|NC_000913.3_cds_NP_416850.1_2327
b2350	NP_416851.1	P77682	yfdG	lcl|NC_000913.3_cds_NP_416851.1_2328
b2351	NP_416852.1	P77293	yfdH	lcl|NC_000913.3_cds_NP_416852.1_2329
b2352	NP_416853.1	P76507	yfdI	lcl|NC_000913.3_cds_NP_416853.1_2330
b4780	YP_010051190.1	P0DSF8	yodE	lcl|NC_000913.3_cds_YP_010051190.1_2331
b2354	NP_416855.1	P77656	yfdK	lcl|NC_000913.3_cds_NP_416855.1_2332
b2356	YP_009518803.1	P76509	yfdM	lcl|NC_000913.3_cds_YP_009518803.1_2333
b2357	NP_416858.1	P76510	yfdN	lcl|NC_000913.3_cds_NP_416858.1_2334
b2358	YP_009518804.1	P0AD35	yfdO	lcl|NC_000913.3_cds_YP_009518804.1_2335
b2359	NP_416860.4	P76512	yfdP	lcl|NC_000913.3_cds_NP_416860.4_2336
b2360	NP_416861.1	P76513	yfdQ	lcl|NC_000913.3_cds_NP_416861.1_2337
b2361	NP_416862.2	P76514	yfdR	lcl|NC_000913.3_cds_NP_416862.2_2338
b2362	NP_416863.1	P76515	yfdS	lcl|NC_000913.3_cds_NP_416863.1_2339
b2363	NP_416864.1	P76516	yfdT	lcl|NC_000913.3_cds_NP_416864.1_2340
b4545	YP_009518805.1	Q2EET0	ypdJ	lcl|NC_000913.3_cds_YP_009518805.1_2341
b4501	YP_588463.1	Q2EES9	torI	lcl|NC_000913.3_cds_YP_588463.1_2342
b2364	NP_416865.1	P46068	dsdC	lcl|NC_000913.3_cds_NP_416865.1_2343
b2365	NP_416866.1	P08555	dsdX	lcl|NC_000913.3_cds_NP_416866.1_2344
b2366	NP_416867.1	P00926	dsdA	lcl|NC_000913.3_cds_NP_416867.1_2345
b2367	NP_416868.1	P52600	emrY	lcl|NC_000913.3_cds_NP_416868.1_2346
b2368	NP_416869.1	P52599	emrK	lcl|NC_000913.3_cds_NP_416869.1_2347
b4781	YP_010051191.1	P0DSF9	evgL	lcl|NC_000913.3_cds_YP_010051191.1_2348
b2369	NP_416870.1	P0ACZ4	evgA	lcl|NC_000913.3_cds_NP_416870.1_2349
b2370	NP_416871.1	P30855	evgS	lcl|NC_000913.3_cds_NP_416871.1_2350
b2371	NP_416872.4	P76518	yfdE	lcl|NC_000913.3_cds_NP_416872.4_2351
b2372	NP_416873.1	P0AA49	yfdV	lcl|NC_000913.3_cds_NP_416873.1_2352
b2373	NP_416874.1	P0AFI0	oxc	lcl|NC_000913.3_cds_NP_416874.1_2353
b2374	NP_416875.1	P69902	frc	lcl|NC_000913.3_cds_NP_416875.1_2354
b2375	NP_416876.1	P76520	yfdX	lcl|NC_000913.3_cds_NP_416876.1_2355
b2376	NP_416877.1	O32528	ypdI	lcl|NC_000913.3_cds_NP_416877.1_2356
b2377	NP_416878.1	P76521	yfdY	lcl|NC_000913.3_cds_NP_416878.1_2357
b2378	NP_416879.4	P0ACV2	lpxP	lcl|NC_000913.3_cds_NP_416879.4_2358
b4680	YP_002791250.1	C1P610	ypdK	lcl|NC_000913.3_cds_YP_002791250.1_2359
b2379	NP_416880.1	P77434	alaC	lcl|NC_000913.3_cds_NP_416880.1_2360
b2380	NP_416881.1	P0AA93	pyrS	lcl|NC_000913.3_cds_NP_416881.1_2361
b2381	NP_416882.1	P0AE39	pyrR	lcl|NC_000913.3_cds_NP_416882.1_2362
b2382	NP_416883.1	P77396	ypdC	lcl|NC_000913.3_cds_NP_416883.1_2363
b2383	NP_416884.1	P77439	fryA	lcl|NC_000913.3_cds_NP_416884.1_2364
b2384	NP_416885.1	P77585	ypdE	lcl|NC_000913.3_cds_NP_416885.1_2365
b2385	NP_416886.1	P76524	ypdF	lcl|NC_000913.3_cds_NP_416886.1_2366
b2386	NP_416887.1	P77579	fryC	lcl|NC_000913.3_cds_NP_416887.1_2367
b2387	NP_416888.1	P69808	fryB	lcl|NC_000913.3_cds_NP_416888.1_2368
b2388	NP_416889.1	P0A6V8	glk	lcl|NC_000913.3_cds_NP_416889.1_2369
b2389	NP_416890.1	P67729	yfeO	lcl|NC_000913.3_cds_NP_416890.1_2370
b2390	NP_416891.1	P64542	ypeC	lcl|NC_000913.3_cds_NP_416891.1_2371
b2392	NP_416893.1	P0A769	mntH	lcl|NC_000913.3_cds_NP_416893.1_2372
b4819	YP_010283913.1	P0DUW4	ypeD	lcl|NC_000913.3_cds_YP_010283913.1_2373
b2393	NP_416894.1	P0AFF2	nupC	lcl|NC_000913.3_cds_NP_416894.1_2374
b2394	NP_416895.2	P0CF93	insL3	lcl|NC_000913.3_cds_NP_416895.2_2375
b2395	NP_416896.4	P23842	pdeA	lcl|NC_000913.3_cds_NP_416896.4_2376
b2398	NP_416897.2	P0AD37	yfeC	lcl|NC_000913.3_cds_NP_416897.2_2377
b2399	NP_416898.3	P27238	yfeD	lcl|NC_000913.3_cds_NP_416898.3_2378
b2400	NP_416899.1	P04805	gltX	lcl|NC_000913.3_cds_NP_416899.1_2379
b2405	NP_416900.1	P23841	xapR	lcl|NC_000913.3_cds_NP_416900.1_2380
b2406	NP_416901.1	P45562	xapB	lcl|NC_000913.3_cds_NP_416901.1_2381
b2407	NP_416902.1	P45563	xapA	lcl|NC_000913.3_cds_NP_416902.1_2382
b2408	NP_416903.1	P45564	yfeN	lcl|NC_000913.3_cds_NP_416903.1_2383
b2409	NP_416904.1	P0ACR7	yfeR	lcl|NC_000913.3_cds_NP_416904.1_2384
b2410	NP_416905.1	P39836	yfeH	lcl|NC_000913.3_cds_NP_416905.1_2385
b4546	YP_588464.1	P0AD40	ypeB	lcl|NC_000913.3_cds_YP_588464.1_2386
b2411	NP_416906.1	P15042	ligA	lcl|NC_000913.3_cds_NP_416906.1_2387
b2412	NP_416907.1	P77173	zipA	lcl|NC_000913.3_cds_NP_416907.1_2388
b2413	NP_416908.1	P0A6J3	cysZ	lcl|NC_000913.3_cds_NP_416908.1_2389
b2414	NP_416909.1	P0ABK5	cysK	lcl|NC_000913.3_cds_NP_416909.1_2390
b2415	NP_416910.1	P0AA04	ptsH	lcl|NC_000913.3_cds_NP_416910.1_2391
b2416	NP_416911.1	P08839	ptsI	lcl|NC_000913.3_cds_NP_416911.1_2392
b2417	NP_416912.1	P69783	crr	lcl|NC_000913.3_cds_NP_416912.1_2393
b2418	NP_416913.1	P40191	pdxK	lcl|NC_000913.3_cds_NP_416913.1_2394
b2419	NP_416914.1	Q47702	yfeK	lcl|NC_000913.3_cds_NP_416914.1_2395
b2420	NP_416915.1	P78271	yfeS	lcl|NC_000913.3_cds_NP_416915.1_2396
b2421	NP_416916.1	P16703	cysM	lcl|NC_000913.3_cds_NP_416916.1_2397
b2422	NP_416917.1	P16676	cysA	lcl|NC_000913.3_cds_NP_416917.1_2398
b2423	YP_026168.2	P0AEB0	cysW	lcl|NC_000913.3_cds_YP_026168.2_2399
b2424	NP_416919.1	P16701	cysU	lcl|NC_000913.3_cds_NP_416919.1_2400
b2425	NP_416920.1	P16700	cysP	lcl|NC_000913.3_cds_NP_416920.1_2401
b2426	NP_416921.4	P37440	ucpA	lcl|NC_000913.3_cds_NP_416921.4_2402
b2427	NP_416922.1	P77245	murR	lcl|NC_000913.3_cds_NP_416922.1_2403
b2428	NP_416923.1	P76535	murQ	lcl|NC_000913.3_cds_NP_416923.1_2404
b2429	NP_416924.1	P77272	murP	lcl|NC_000913.3_cds_NP_416924.1_2405
b2430	NP_416925.2	P77619	yfeW	lcl|NC_000913.3_cds_NP_416925.2_2406
b2431	NP_416926.4	P76536	yfeX	lcl|NC_000913.3_cds_NP_416926.4_2407
b2432	NP_416927.1	P76537	yfeY	lcl|NC_000913.3_cds_NP_416927.1_2408
b2433	NP_416928.4	P76538	yfeZ	lcl|NC_000913.3_cds_NP_416928.4_2409
b2434	NP_416929.4	P76539	ypeA	lcl|NC_000913.3_cds_NP_416929.4_2410
b2435	NP_416930.1	P36548	amiA	lcl|NC_000913.3_cds_NP_416930.1_2411
b2436	NP_416931.1	P36553	hemF	lcl|NC_000913.3_cds_NP_416931.1_2412
b2437	NP_416932.1	P36547	eutR	lcl|NC_000913.3_cds_NP_416932.1_2413
b2438	NP_416933.4	P76540	eutK	lcl|NC_000913.3_cds_NP_416933.4_2414
b2439	NP_416934.1	P76541	eutL	lcl|NC_000913.3_cds_NP_416934.1_2415
b2440	NP_416935.1	P19636	eutC	lcl|NC_000913.3_cds_NP_416935.1_2416
b2441	NP_416936.4	P0AEJ6	eutB	lcl|NC_000913.3_cds_NP_416936.4_2417
b2442	NP_416937.2	P76542	intZ	lcl|NC_000913.3_cds_NP_416937.2_2418
b2443	NP_416938.1	P76543	yffL	lcl|NC_000913.3_cds_NP_416938.1_2419
b2444	NP_416939.1	P76544	yffM	lcl|NC_000913.3_cds_NP_416939.1_2420
b2445	NP_416940.2	P76545	yffN	lcl|NC_000913.3_cds_NP_416940.2_2421
b2446	NP_416941.1	P76546	yffO	lcl|NC_000913.3_cds_NP_416941.1_2422
b2447	NP_416942.1	P76547	yffP	lcl|NC_000913.3_cds_NP_416942.1_2423
b2448	NP_416943.2	P76548	yffQ	lcl|NC_000913.3_cds_NP_416943.2_2424
b2449	NP_416944.1	P76549	yffR	lcl|NC_000913.3_cds_NP_416944.1_2425
